Bundesland,Ladenname,Name Besitzer,Ort,Besonderes,Webseite,OnlineShop,FaceBook,Instagram
Hessen,Die zweite Filiale „Ulf am Lokalbahnhof“,Claudia Nauth & Team,"Darmstädter Landstraße 44, Frankfurt","Unsere Lebensmittel sind biozertifiziert und werden, so weit es möglich ist, von regionalen Herstellern und Herstellerinnen bezogen. Im Ulf am Lokalbahnhof ist saisonales Obst und Gemüse erhältlich. Weiterhin gibt es diverse nachhaltige Alltagshelfer und Hygieneprodukte.",['www.unverpackt-laden-frankfurt.de/'],,,
Bayern,Facebook: Unverpackt Aschaffenburg,"Markus Dorner, Geschäftsführer","Landingstraße 22, Aschaffenburg","Ein Drogeriemarkt. Über die klassischen unverpackten Lebensmittel hinaus werden hier auch ein breites Sortiment an Hygiene, Haarpflege und Reinigungsprodukten angeboten.",,,,
Bayern,rutaNatur,Ramona Dorner,"Prinzregentenstraße 7, Augsburg",Das Angebot ist vegetarisch und vegan.,['www.rutanatur.de'],,,
Bayern,Unverpackt Bamberg,Alina und Theres,"Luitpoldstraße 36, Bamberg",,['www.unverpackt-bamberg.de'],,,
Bayern,Milchlokal,Karolina Kreuzer,"Vorwaldstrasse 86, Durach","Die Auswahl der Produkte legt großen Wert auf Regionalität, Nachhaltigkeit, Fairness und Transparenz. Das Milchlokal bietet deshalb vollwertige Lebensmittel aus der Region an und verzichtet hierbei auf industriell gefertigte Massenware.",['www.milchlokal.de'],,,
Bayern,NurINpur,"Simon Stapf, Jan Lechky, Andreas Kuhn, Barbara Cremerius","Am Pulverl 13, Ingolstadt","Noch gibt’s nicht viele Infos zu dem Laden, die ersten Lieferanten konnte das Team aber nach eigener Aussage schon gewinnen. Der Laden ist das erste Unverpackt-Geschäft in Ingolstadt.",['www.nurinpur.de'],,,
Bayern,Der Plastikfreie Laden,"Katrin Schüler, Expertin in den Themen Genuss und Nachhaltigkeit und Gründerin der Initiative „Plastikfrei leben“. Ihre Firma Naturlieferant produziert und vertreibt Naturprodukte.","Schloßstraße 7, München","Der Supermarkt bietet einen Online-Shop, Gruppenführungen und Workshops an. Jeden 1. Mittwoch des Monats findet zudem ein Diskussionsabend zum plastikfreien Leben statt.",['www.plastikfreiezone.de'],,,
Bayern,Mutternaturladen München,Christine Kilech,"Grünwalder Straße 244, München Harlaching","Plastikfreier Laden im Tante-Emma-Stil, täglich frisch wechselnder Mittagstisch.",['www.mutternaturladen.de'],,,
Bayern,Ohne,"Hannah Sartin, Carlo Krauß, Christine Traub","Schellingstraße 42, München","Das Gemüse stammt von den Gemüserettern von etepetete und sämtliche Produkte werden bereits verpackungsfrei Geliefert. Alle Waren sind Bio, alle unverpackt und so regional wie möglich. Neben einem Onlinebestellservice gibt es ein Ladenbistro mit Kaffee, Tee und Kaltgetränken.",['www.ohne-laden.de'],,,
Bayern,AuffüllBar,Manuela und Andreas Breu,"Münchener Str. 3, Neuburg/Donau",Neben Lebensmitteln aus der Region und aus biologischem Anbau wird es auch alle weiteren Artikel des täglichen Bedarfs geben.,['www.auffüllbar-neuburg.de'],,,
Bayern,Ohne Umweg,Sarah Eberhardt,"Schäfflesmarkt 1, Nördlingen",Neben dem Lebensmittelladen lässt sich auch eine Tasse Kaffee im dazugehörigen Café genießen.,['www.ohneumweg.com'],,,
Bayern,ZeroHero – Unverpackt Nürnberg,"Thomas Linhardt, gelernter Werbetechniker und Feinkosthändler und Arthur Koenig, der in seiner Freizeit seinen Eigenen Bio-Ackerbau betreibt","Obere Kanalstraße 11a, Nürnberg",ZeroHero ist der erste Unverpackt-Laden in Franken.,['www.facebook.com/unverpacktnuernberg'],,,
